file,line,tags,risky_index_mixed,text
src/server.py,314,OHLC4|close_only,,"rows = db.execute(""""""SELECT stock_code, date, open, high, low, close, volume, amount, change"
src/server.py,339,OHLC4|close_only,,"rows = db.execute(""""""SELECT stock_code, date, open, high, low, close, volume, amount, change"
src/server.py,625,close_only,,"""SELECT stock_code, close FROM index_daily_kline WHERE date = ?"", (prev_date,)"
src/server.py,635,close_only,,"SELECT stock_code, close, change FROM index_daily_kline"
src/server.py,680,close_only,,"SELECT rs_20, ma50, close FROM index_rs_daily"
src/server.py,817,close_only,,"""SELECT stock_code, close FROM index_daily_kline WHERE date = ?"", (prev_date,)"
src/server.py,822,close_only,,"SELECT stock_code, close, change FROM index_daily_kline"
src/server.py,1164,from_dk,,FROM daily_kline k
src/server.py,1342,close_only,,"SELECT date, close FROM index_full_return_daily"
src/server.py,1352,close_only,,"SELECT date, close FROM index_daily_kline"
src/server.py,1430,close_only,,SELECT close FROM index_full_return_daily
src/server.py,1510,close_only,,"SELECT date, close FROM index_daily_kline"
src/server.py,1524,close_only,,"SELECT date, close FROM index_full_return_daily"
src/server.py,1537,close_only,,"SELECT date, close FROM index_full_return_daily"
src/server.py,1548,close_only,,"SELECT date, close FROM index_daily_kline"
src/server.py,1726,close_only,,"SELECT date, close FROM index_daily_kline"
src/server.py,1760,close_only,,"SELECT date, close FROM index_daily_kline"
src/server.py,1769,close_only,,"""SELECT date, close FROM index_full_return_daily WHERE stock_code=? AND date<=?"","
src/server.py,1945,close_only,,"SELECT date, close FROM index_daily_kline"
src/server.py,2002,close_only,,"SELECT date, close FROM index_daily_kline"
src/server.py,2214,close_only,,"SELECT date, close FROM index_daily_kline"
src/server.py,2349,close_only,,"SELECT date, close FROM index_daily_kline"
src/server.py,2354,close_only,,"SELECT date, close FROM hk_etf_daily"
src/server.py,2433,close_only,,"rows = db.execute(""""""SELECT date, close FROM index_full_return_daily"
src/server.py,2437,close_only,,"rows = db.execute(""""""SELECT date, close FROM index_daily_kline"
src/server.py,2450,close_only,,"rows = db.execute(""SELECT date, close FROM hk_etf_full_return WHERE stock_code=? ORDER BY date"", (code,)).fetchall()"
src/server.py,2502,close_only,,"tri = db.execute(""SELECT date, close FROM index_full_return_daily WHERE stock_code=? ORDER BY date"", (code,)).fetchall()"
src/server.py,2503,close_only,,"price = db.execute(""SELECT date, close FROM index_daily_kline WHERE stock_code=? AND kline_type='normal' ORDER BY date"", (code,))."
src/server.py,2691,close_only,,"SELECT date, close FROM index_daily_kline"
src/server.py,2713,close_only,,SELECT close FROM index_daily_kline
src/server.py,2767,close_only,,"SELECT date, close FROM index_daily_kline"
src/server.py,2817,close_only,,SELECT close FROM index_daily_kline
src/server.py,2913,close_only,,"SELECT date, close FROM index_full_return_daily"
src/server.py,3182,OHLC4|close_only|from_var,Y,"rows = db.execute(f""""""SELECT date, open, high, low, close, volume, amount FROM {table}"
src/server.py,3215,ensure_adj,,def _ensure_adj_prices(klines):
src/server.py,3216,adj_col,,"""""""前复权：用 change_pct 逆向推算 adj_close，按比例同步缩放 OHLC。"
src/server.py,3219,adj_col,,1. 从最后一天向前递推 adj_close：prev_adj_close = curr_adj_close / (1 + chg)
src/server.py,3220,adj_col,,2. 每晚用 adj_close / raw_close 的比例同步缩放当天的 open/high/low
src/server.py,3228,adj_col,,# Step 1: 从后往前推算 adj_close
src/server.py,3243,adj_col,,# Step 2: 用 adj_close / raw_close 比例同步 OHLC
src/server.py,3247,adj_col,,"adj_close = k.get('_adj_close', raw_close)"
src/server.py,3249,adj_col,,ratio = adj_close / raw_close
src/server.py,3253,adj_col,,k['close'] = adj_close
src/server.py,3330,OHLC4|close_only|from_var,Y,"rows = db.execute(f""""""SELECT date, open, high, low, close, volume, amount FROM {table}"
src/server.py,3424,OHLC4|close_only,,"SELECT date, open, high, low, close, volume"
src/server.py,3493,OHLC4|close_only|from_var,Y,"klines = db.execute(f""""""SELECT date, open, high, low, close, volume FROM {table}"
src/server.py,3531,OHLC4|close_only|from_var,Y,"klines = db.execute(f""""""SELECT date, open, high, low, close, volume FROM {table}"
src/server.py,3686,OHLC4|close_only|from_var,Y,"klines = db.execute(f""""""SELECT date, open, high, low, close, volume FROM {table}"
src/server.py,3733,OHLC4|close_only|from_var,Y,"klines = db.execute(f""""""SELECT date, open, high, low, close, volume FROM {table}"
src/server.py,3857,OHLC4|close_only|from_var,Y,"klines = db.execute(f""""""SELECT date, open, high, low, close, volume FROM {table}"
src/server.py,3957,OHLC4|close_only|from_var,Y,"klines = db.execute(f""""""SELECT date, open, high, low, close, volume FROM {table}"
src/server.py,3994,OHLC4|close_only|from_var,Y,"klines = db.execute(f""""""SELECT date, open, high, low, close, volume FROM {table}"
src/server.py,4028,OHLC4|close_only|from_var,Y,"klines = db.execute(f""""""SELECT date, open, high, low, close, volume FROM {table}"
src/server.py,4073,OHLC4|close_only,,"klines = db.execute(""""""SELECT date, open, high, low, close, volume FROM index_daily_kline"
src/server.py,4091,OHLC4|close_only,,"k985 = db.execute(""""""SELECT date, open, high, low, close, volume FROM index_daily_kline"
src/server.py,4094,OHLC4|close_only,,"k300 = db.execute(""""""SELECT date, open, high, low, close, volume FROM index_daily_kline"
src/server.py,4115,OHLC4|close_only|from_var,Y,"klines = db.execute(f""""""SELECT date, open, high, low, close, volume FROM {table}"
src/server.py,4141,OHLC4|close_only|from_var,Y,"klines = db.execute(f""""""SELECT date, open, high, low, close, volume FROM {table}"
src/server.py,4168,OHLC4|close_only|from_var,Y,"klines = db.execute(f""""""SELECT date, open, high, low, close, volume FROM {table}"
src/server.py,4192,OHLC4|close_only|from_var,Y,"klines = db.execute(f""""""SELECT date, open, high, low, close, volume FROM {table}"
src/server.py,4219,OHLC4|close_only|from_var,Y,"klines = db.execute(f""""""SELECT date, open, high, low, close, volume FROM {table}"
src/server.py,4242,OHLC4|close_only|from_var,Y,"klines = db.execute(f""""""SELECT date, open, high, low, close, volume FROM {table}"
src/server.py,4404,OHLC4,,"cur.execute(""""""INSERT INTO backtest_signals (run_id,stock_code,date,signal_type,score,open,high,low,close,"
src/server.py,4633,adj_col,,"'close': row['adj_close'],"
src/server.py,4675,adj_col,,"'close': row['adj_close'],"
src/server.py,4708,adj_col,,"'close': stock[""adj_close""].to_list(),"
src/server.py,4820,close_only|from_dk,,"k = db.execute(""SELECT close FROM daily_kline WHERE stock_code=? AND date>=? ORDER BY date LIMIT 1"","
src/server.py,5038,close_only|from_dk,,k_row = db.execute('''SELECT close FROM daily_kline
src/server.py,5431,OHLC4|close_only,,"rows = db.execute(f'''SELECT stock_code, date, open, high, low, close, volume, amount, change"
src/server.py,5581,from_dk,,FROM daily_kline WHERE stock_code IN ({c_ph})
src/server.py,5720,OHLC4,,"ohlc = ""open, high, low, close"""
src/server.py,5723,from_var,Y,FROM {table} WHERE stock_code=? {kf}
src/server.py,5727,OHLC4|close_only,,"rows = db.execute(f""""""SELECT date, open, high, low, close, volume, amount, {chg_col} as change_pct"
src/server.py,5728,from_var,Y,FROM {table} WHERE stock_code=? {kf}
src/server.py,7008,from_dk,,SELECT 1 FROM daily_kline dk
src/server.py,7012,from_dk,,SELECT 1 FROM daily_kline dk
